team,wins,losses,2P,0-3,3-10,10-16,16-3P,3P
Phoenix Suns,62,20,0.711,0.3,0.119,0.12,0.172,0.289
Miami Heat,59,23,0.802,0.336,0.137,0.111,0.218,0.198
San Antonio Spurs,59,23,0.784,0.293,0.201,0.118,0.173,0.216
Dallas Mavericks,58,24,0.81,0.287,0.132,0.148,0.243,0.19
Detroit Pistons,54,28,0.836,0.321,0.117,0.183,0.215,0.164
Seattle SuperSonics,52,30,0.719,0.276,0.16,0.118,0.165,0.281
Houston Rockets,51,31,0.763,0.254,0.134,0.119,0.256,0.237
Sacramento Kings,50,32,0.8,0.258,0.125,0.081,0.336,0.2
Denver Nuggets,49,33,0.858,0.364,0.102,0.117,0.274,0.142
Chicago Bulls,47,35,0.783,0.297,0.144,0.128,0.214,0.217
Boston Celtics,45,37,0.808,0.364,0.119,0.113,0.212,0.192
Memphis Grizzlies,45,37,0.763,0.354,0.145,0.089,0.176,0.237
Washington Wizards,45,37,0.78,0.268,0.188,0.118,0.206,0.22
Indiana Pacers,44,38,0.745,0.27,0.14,0.137,0.199,0.255
Minnesota Timberwolves,44,38,0.827,0.225,0.138,0.18,0.285,0.173
Philadelphia 76ers,43,39,0.784,0.323,0.12,0.129,0.213,0.216
New Jersey Nets,42,40,0.813,0.276,0.118,0.119,0.299,0.187
Cleveland Cavaliers,42,40,0.865,0.312,0.161,0.159,0.233,0.135
Los Angeles Clippers,37,45,0.895,0.298,0.151,0.156,0.29,0.105
Orlando Magic,36,46,0.863,0.327,0.106,0.154,0.276,0.137
Golden State Warriors,34,48,0.748,0.254,0.155,0.092,0.248,0.252
Los Angeles Lakers,34,48,0.727,0.329,0.118,0.092,0.188,0.273
New York Knicks,33,49,0.812,0.3,0.14,0.122,0.251,0.188
Toronto Raptors,33,49,0.747,0.283,0.123,0.136,0.206,0.253
Milwaukee Bucks,30,52,0.859,0.331,0.128,0.177,0.224,0.141
Portland Trail Blazers,27,55,0.819,0.335,0.161,0.11,0.213,0.181
Utah Jazz,26,56,0.879,0.336,0.093,0.137,0.312,0.121
Charlotte Bobcats,18,64,0.872,0.284,0.149,0.145,0.294,0.128
New Orleans Hornets,18,64,0.799,0.304,0.096,0.122,0.277,0.201
Atlanta Hawks,13,69,0.854,0.371,0.141,0.139,0.204,0.146
