team,wins,losses,2P,0-3,3-10,10-16,16-3P,3P,def_2P,def_0-3,def_3-10,def_10-16,def_16-3P,def_3P
Oklahoma City Thunder,68,14,0.581,0.216,0.196,0.123,0.046,0.419,0.548,0.199,0.216,0.088,0.045,0.452
Cleveland Cavaliers,64,18,0.543,0.241,0.19,0.075,0.037,0.457,0.587,0.238,0.199,0.103,0.047,0.413
Boston Celtics,61,21,0.464,0.179,0.168,0.073,0.045,0.536,0.585,0.198,0.229,0.1,0.058,0.415
Houston Rockets,52,30,0.616,0.234,0.219,0.099,0.064,0.384,0.609,0.223,0.234,0.103,0.05,0.391
New York Knicks,51,31,0.618,0.27,0.196,0.107,0.045,0.382,0.593,0.268,0.186,0.091,0.049,0.407
Denver Nuggets,50,32,0.644,0.265,0.237,0.076,0.067,0.356,0.584,0.219,0.212,0.106,0.047,0.416
Indiana Pacers,50,32,0.6,0.218,0.207,0.111,0.062,0.4,0.596,0.231,0.234,0.085,0.046,0.404
Los Angeles Clippers,50,32,0.613,0.208,0.256,0.108,0.042,0.387,0.568,0.204,0.223,0.091,0.049,0.432
Los Angeles Lakers,50,32,0.575,0.218,0.203,0.097,0.056,0.425,0.573,0.209,0.234,0.087,0.043,0.427
Minnesota Timberwolves,49,33,0.545,0.238,0.197,0.076,0.034,0.455,0.591,0.225,0.217,0.104,0.046,0.409
Golden State Warriors,48,34,0.531,0.168,0.252,0.068,0.043,0.469,0.582,0.144,0.29,0.099,0.049,0.418
Memphis Grizzlies,48,34,0.594,0.213,0.269,0.085,0.027,0.406,0.571,0.22,0.207,0.095,0.049,0.429
Milwaukee Bucks,48,34,0.576,0.244,0.15,0.095,0.086,0.424,0.568,0.224,0.182,0.108,0.054,0.432
Detroit Pistons,44,38,0.606,0.227,0.251,0.085,0.043,0.394,0.576,0.188,0.253,0.089,0.047,0.424
Orlando Magic,41,41,0.589,0.225,0.214,0.09,0.06,0.411,0.615,0.223,0.238,0.099,0.055,0.385
Atlanta Hawks,40,42,0.59,0.257,0.228,0.077,0.027,0.41,0.581,0.257,0.182,0.097,0.046,0.419
Sacramento Kings,40,42,0.609,0.171,0.224,0.123,0.092,0.391,0.565,0.17,0.258,0.088,0.049,0.435
Chicago Bulls,39,43,0.543,0.264,0.187,0.057,0.036,0.457,0.583,0.269,0.184,0.08,0.051,0.417
Dallas Mavericks,39,43,0.611,0.227,0.23,0.099,0.056,0.389,0.614,0.248,0.224,0.094,0.047,0.386
Miami Heat,37,45,0.571,0.211,0.229,0.098,0.033,0.429,0.572,0.222,0.208,0.093,0.049,0.428
Phoenix Suns,36,46,0.56,0.143,0.199,0.156,0.061,0.44,0.574,0.2,0.224,0.094,0.057,0.426
Portland Trail Blazers,36,46,0.582,0.268,0.197,0.069,0.047,0.418,0.602,0.245,0.203,0.095,0.059,0.398
San Antonio Spurs,34,48,0.559,0.256,0.171,0.083,0.05,0.441,0.575,0.261,0.185,0.078,0.051,0.425
Toronto Raptors,30,52,0.627,0.283,0.217,0.094,0.033,0.373,0.573,0.266,0.189,0.074,0.044,0.427
Brooklyn Nets,26,56,0.542,0.228,0.214,0.07,0.03,0.458,0.576,0.255,0.212,0.071,0.038,0.424
Philadelphia 76ers,24,58,0.574,0.253,0.184,0.084,0.053,0.426,0.567,0.278,0.174,0.072,0.041,0.433
New Orleans Pelicans,21,61,0.615,0.25,0.213,0.104,0.047,0.385,0.557,0.26,0.185,0.07,0.041,0.443
Charlotte Hornets,19,63,0.57,0.226,0.223,0.082,0.04,0.43,0.551,0.243,0.172,0.089,0.047,0.449
Washington Wizards,18,64,0.565,0.213,0.225,0.079,0.047,0.435,0.578,0.22,0.221,0.093,0.044,0.422
Utah Jazz,17,65,0.551,0.166,0.276,0.078,0.031,0.449,0.554,0.174,0.257,0.082,0.041,0.446
