team,wins,posterior_mean_win_prob,posterior_mean_wins
Miami Heat,59,0.6634000040265922,54.398800330180556
Houston Rockets,51,0.653552136557207,53.591275197690976
San Antonio Spurs,59,0.627533894224253,51.457779326388746
Indiana Pacers,44,0.6242157248571782,51.18568943828862
Chicago Bulls,47,0.6101411069279712,50.03157076809364
Seattle SuperSonics,52,0.5793306982773971,47.505117258746566
Phoenix Suns,62,0.5763068530709243,47.257161951815796
Washington Wizards,45,0.5760452043851331,47.235706759580914
Golden State Warriors,34,0.5551361448726426,45.521163879556696
Detroit Pistons,54,0.5335015394276991,43.74712623307132
Los Angeles Lakers,34,0.5298136520312883,43.44471946656564
Philadelphia 76ers,43,0.5129137094126989,42.058924171841305
Toronto Raptors,33,0.5031826905308363,41.260980623528575
Minnesota Timberwolves,44,0.49575657254634303,40.652038948800126
Cleveland Cavaliers,42,0.49124323171925227,40.28194500097869
New Jersey Nets,42,0.48964938932208774,40.151249924411196
Memphis Grizzlies,45,0.4804827666085587,39.39958686190182
Sacramento Kings,50,0.4544742400952038,37.266887687806715
Denver Nuggets,49,0.45340981530490254,37.17960485500201
New Orleans Hornets,18,0.45279472548549454,37.129167489810555
Utah Jazz,26,0.4482296745562105,36.75483331360926
New York Knicks,33,0.44648278333212243,36.61158823323404
Portland Trail Blazers,27,0.4406481013843116,36.133144313513554
Dallas Mavericks,58,0.4359150333062572,35.74503273111309
Los Angeles Clippers,37,0.4315279351500806,35.38529068230661
Milwaukee Bucks,30,0.4286419008524613,35.148635869901824
Orlando Magic,36,0.402625675833345,33.01530541833429
Boston Celtics,45,0.3923329885868886,32.171305064124866
Atlanta Hawks,13,0.3805129641790565,31.202063062682633
Charlotte Bobcats,18,0.33344036989495557,27.34211033138636
